hsn_code,name,category,category_code
72029916,"FERRO-ALLOYS - OTHER : OTHER : FERRO-PHOSPHORUS, FERRO-SELENIUM, FERROCOBALT, FERRO-COLUMBIUM, FERRO-ZIRCONIUM, FERRO-TANTALUM: FERRO-TANTALUM",Iron and Steel,72
72029921,"FERRO-ALLOYS - OTHER : OTHER : FERRO-SILICO-ZIRCONIUM, FERRO-SILICO-MAGNESIUM: FERRO-SILICO-ZIRCONIUM",Iron and Steel,72
72029922,"FERRO-ALLOYS - OTHER : OTHER : FERRO-SILICO-ZIRCONIUM, FERRO-SILICO-MAGNESIUM: FERRO-SILICO-MAGNESIUM",Iron and Steel,72
72029931,"FERRO-ALLOYS - OTHER : OTHER : FERRO-BORON, CHARGE-CHROME : FERRO-BORON",Iron and Steel,72
72029932,"FERRO-ALLOYS - OTHER : OTHER : FERRO-BORON, CHARGE-CHROME : CHARGE-CHROME",Iron and Steel,72
72029990,FERRO-ALLOYS - OTHER : OTHER : OTHER,Iron and Steel,72
7203,"FERROUS PRODUCTS OBTAINED BY DIRECT REDUCTION OF IRON ORE AND OTHER SPONGY FERROUS PRODUCTS, IN LUMPS, PELLETS OR SIMILAR FORMS; IRON HAVING MINIMUM PURITY BY WEIGHT OF 99.94%, IN LUMPS, PELLETS OR SIMILAR FORMS",Iron and Steel,72
720310,"IRON AND STEEL~Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having minimum purity by weight of 99.94%, in lumps, pellets or similar forms~Ferrous products obtained b...",Iron and Steel,72
72031000,"FERROUS PRODUCTS OBTAINED BY DIRECT REDUCTION OF IRON ORE AND OTHER SPONGY FERROUS PRODUCTS, IN LUMPS, PELLETS OR SIMILAR FORMS; IRON HAVING MINIMUM PURITY BY WEIGHT OF 99.94%, IN LUMPS, PELLETS OR SIMILAR FORMS - FERROUS PRODUCTS OBTAINED BY DIRECT REDU...",Iron and Steel,72
720390,"IRON AND STEEL~Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having minimum purity by weight of 99.94%, in lumps, pellets or similar forms~Other",Iron and Steel,72
72039000,"FERROUS PRODUCTS OBTAINED BY DIRECT REDUCTION OF IRON ORE AND OTHER SPONGY FERROUS PRODUCTS, IN LUMPS, PELLETS OR SIMILAR FORMS; IRON HAVING MINIMUM PURITY BY WEIGHT OF 99.94%, IN LUMPS, PELLETS OR SIMILAR FORMS - OTHER",Iron and Steel,72
7204,FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL,Iron and Steel,72
720410,IRON AND STEEL~Ferrous waste and scrap; remelting scrap ingots of iron or steel~Waste and scrap of cast iron,Iron and Steel,72
72041000,FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL - WASTE AND SCRAP OF CAST IRON,Iron and Steel,72
720421,Of stainless steel,Iron and Steel,72
72042110,FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL - WASTE AND SCRAP OF ALLOY STEEL : OF STAINLESS STEEL : EMPTY OR DISCHARGED CARTRIDGES OF ALL BORES AND SIZES,Iron and Steel,72
72042190,FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL - WASTE AND SCRAP OF ALLOY STEEL : OF STAINLESS STEEL : OTHER,Iron and Steel,72
720429,Other,Iron and Steel,72
72042910,FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL - WASTE AND SCRAP OF ALLOY STEEL : OTHER : EMPTY OR DISCHARGED CARTRIDGES OF ALL BORES AND SIZES,Iron and Steel,72
72042920,FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL - WASTE AND SCRAP OF ALLOY STEEL : OTHER : OF HIGH SPEED STEEL,Iron and Steel,72
72042990,FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL - WASTE AND SCRAP OF ALLOY STEEL : OTHER : OTHER,Iron and Steel,72
720430,IRON AND STEEL~Ferrous waste and scrap; remelting scrap ingots of iron or steel~Waste and scrap of tinned iron or steel,Iron and Steel,72
72043000,FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL - WASTE AND SCRAP OF TINNED IRON OR STEEL,Iron and Steel,72
720441,"IRON AND STEEL~Ferrous waste and scrap; remelting scrap ingots of iron or steel~Turnings, shavings, chips, milling waste, saw dust, fillings, trimmings and stampings, whether or not in bundles",Iron and Steel,72
72044100,"FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL - OTHER WASTE AND SCRAP : TURNINGS, SHAVINGS, CHIPS, MILLING WASTE, SAW DUST, FILLINGS, TRIMMINGS AND STAMPINGS, WHETHER OR NOT ` IN BUNDLES",Iron and Steel,72
720449,IRON AND STEEL~Ferrous waste and scrap; remelting scrap ingots of iron or steel~Other,Iron and Steel,72
72044900,FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL - OTHER WASTE AND SCRAP : OTHER,Iron and Steel,72
720450,IRON AND STEEL~Ferrous waste and scrap; remelting scrap ingots of iron or steel~Remelting scrap ingots,Iron and Steel,72
72045000,FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL - REMELTING SCRAP INGOTS,Iron and Steel,72
7205,"GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL",Iron and Steel,72
720510,Granules,Iron and Steel,72
72051011,"GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL - GRANULES : OF IRON : SHOT AND ANGULAR GRIT",Iron and Steel,72
72051012,"GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL - GRANULES : OF IRON : WIRE PELLETS",Iron and Steel,72
72051019,"GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL - GRANULES : OF IRON : OTHER",Iron and Steel,72
72051021,"GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL - GRANULES : OF ALLOY STEEL : SHOT AND ANGULAR GRIT",Iron and Steel,72
72051022,"GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL - GRANULES : OF ALLOY STEEL : WIRE PELLETS",Iron and Steel,72
72051029,"GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL - GRANULES : OF ALLOY STEEL : OTHER",Iron and Steel,72
72051090,"GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL - GRANULES : OTHER",Iron and Steel,72
720521,"IRON AND STEEL~Granules and powders, of pig iron, spiegeleisen, iron or steel~Of alloy steel",Iron and Steel,72
72052100,"GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL - POWDERS : OF ALLOY STEEL",Iron and Steel,72
720529,Other,Iron and Steel,72
72052910,"GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL - POWDERS : OTHER : OF IRON",Iron and Steel,72
72052990,"GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL - POWDERS : OTHER : OTHER",Iron and Steel,72
7206,IRON AND NON-ALLOY STEEL IN INGOTS OR OTHER PRIMARY FORMS (EXCLUDING IRON OF HEADING 7203),Iron and Steel,72
720610,Ingots,Iron and Steel,72
72061010,IRON AND NON-ALLOY STEEL IN INGOTS OR OTHER PRIMARY FORMS (EXCLUDING IRON OF HEADING 7203) - INGOTS : OF IRON,Iron and Steel,72
72061020,IRON AND NON-ALLOY STEEL IN INGOTS OR OTHER PRIMARY FORMS (EXCLUDING IRON OF HEADING 7203) - INGOTS : OF HIGH CARBON STEEL,Iron and Steel,72
72061090,IRON AND NON-ALLOY STEEL IN INGOTS OR OTHER PRIMARY FORMS (EXCLUDING IRON OF HEADING 7203) - INGOTS : OTHER,Iron and Steel,72
720690,Other,Iron and Steel,72
72069011,IRON AND NON-ALLOY STEEL IN INGOTS OR OTHER PRIMARY FORMS (EXCLUDING IRON OF HEADING 7203) - OTHER : OF IRON : PUDDLED BARS AND PILINGS,Iron and Steel,72
72069012,"IRON AND NON-ALLOY STEEL IN INGOTS OR OTHER PRIMARY FORMS (EXCLUDING IRON OF HEADING 7203) - OTHER : OF IRON : BLOCKS, LUMPS AND SIMILAR FORMS",Iron and Steel,72
72069019,IRON AND NON-ALLOY STEEL IN INGOTS OR OTHER PRIMARY FORMS (EXCLUDING IRON OF HEADING 7203) - OTHER : OF IRON : OTHER,Iron and Steel,72
72069091,IRON AND NON-ALLOY STEEL IN INGOTS OR OTHER PRIMARY FORMS (EXCLUDING IRON OF HEADING 7203) - OTHER : OTHER : PUDDLED BARS AND PILINGS,Iron and Steel,72
72069092,"IRON AND NON-ALLOY STEEL IN INGOTS OR OTHER PRIMARY FORMS (EXCLUDING IRON OF HEADING 7203) - OTHER : OTHER : BLOCKS, LUMPS AND SIMILAR FORMS",Iron and Steel,72
72069099,IRON AND NON-ALLOY STEEL IN INGOTS OR OTHER PRIMARY FORMS (EXCLUDING IRON OF HEADING 7203) - OTHER : OTHER : OTHER,Iron and Steel,72
7207,SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL,Iron and Steel,72
720711,"Of rectangular (including square) cross-section, the width measuring less than twice the thickness",Iron and Steel,72
72071110,SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : 7207 11 SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : OF RECTANGULAR (INCLUDING SQUARE) CROSS-SECT...,Iron and Steel,72
72071120,SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : 7207 11 SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : OF RECTANGULAR (INCLUDING SQUARE) CROSS-SECT...,Iron and Steel,72
72071130,SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : 7207 11 SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : OF RECTANGULAR (INCLUDING SQUARE) CROSS-SECT...,Iron and Steel,72
72071190,SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : 7207 11 SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : OF RECTANGULAR (INCLUDING SQUARE) CROSS-SECT...,Iron and Steel,72
720712,"Other, of rectangular (other than square) cross-section",Iron and Steel,72
72071210,"SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : OTHER, OF RECTANGULAR (OTHER THAN SQUARE) CROSSSECTION : ELECTRICAL QUALITY",Iron and Steel,72
72071220,"SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : OTHER, OF RECTANGULAR (OTHER THAN SQUARE) CROSSSECTION : FORGING QUALITY",Iron and Steel,72
72071230,"SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : OTHER, OF RECTANGULAR (OTHER THAN SQUARE) CROSSSECTION : SEAMLESS STEEL TUBE QUALITY",Iron and Steel,72
72071290,"SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : OTHER, OF RECTANGULAR (OTHER THAN SQUARE) CROSSSECTION : OTHER",Iron and Steel,72
720719,Other,Iron and Steel,72
72071910,SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : OTHER :FORGED BLANKS OF NON-ALLOY STEEL,Iron and Steel,72
72071920,SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : OTHER :MILD STEEL BILLETS,Iron and Steel,72
72071990,SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : OTHER : OTHER,Iron and Steel,72
720720,Containing by weight 0.20% or more of carbon,Iron and Steel,72
72072010,SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT 0.25% OR MORE OF CARBON : FORGING QUALITY,Iron and Steel,72
72072020,SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT 0.25% OR MORE OF CARBON : SPRING STEEL QUALITY,Iron and Steel,72
72072030,SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT 0.25% OR MORE OF CARBON : SEAMLESS STEEL TUBE QUALITY,Iron and Steel,72
72072090,SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT 0.25% OR MORE OF CARBON : OTHER,Iron and Steel,72
7208,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOTROLLED, NOT CLAD, PLATED OR COATED",Iron and Steel,72
720810,IRON AND STEEL~Flat-rolled products of iron or non-alloy,Iron and Steel,72
72081000,"IN COILS, NOT FURTHER WORKED THAN HOT-ROLLED, WITH PATTERNS IN RELIEF",Iron and Steel,72
720825,Of a thickness of 4.75 mm or more,Iron and Steel,72
72082510,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOT-ROLLED, NOT CLAD, PLATED OR COATED - OTHER, IN COILS, NOT FURTHER WORKED THAN HOTROLLED, PICKLED : OF A THICKNESS OF 4.75 MM OR MORE : PLATES",Iron and Steel,72
72082520,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOT-ROLLED, NOT CLAD, PLATED OR COATED - OTHER, IN COILS, NOT FURTHER WORKED THAN HOTROLLED, PICKLED : OF A THICKNESS OF 4.75 MM OR MORE : UNIVERSAL PLATES",Iron and Steel,72
72082530,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOT-ROLLED, NOT CLAD, PLATED OR COATED - OTHER, IN COILS, NOT FURTHER WORKED THAN HOTROLLED, PICKLED : OF A THICKNESS OF 4.75 MM OR MORE : SHEETS",Iron and Steel,72
72082540,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOT-ROLLED, NOT CLAD, PLATED OR COATED - OTHER, IN COILS, NOT FURTHER WORKED THAN HOTROLLED, PICKLED : OF A THICKNESS OF 4.75 MM OR MORE : STRIP",Iron and Steel,72
72082590,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOT-ROLLED, NOT CLAD, PLATED OR COATED - OTHER, IN COILS, NOT FURTHER WORKED THAN HOTROLLED, PICKLED : OF A THICKNESS OF 4.75 MM OR MORE : OTHER",Iron and Steel,72
720826,Of a thickness of 3 mm or more but less than 4.75 mm,Iron and Steel,72
72082610,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOT-ROLLED, NOT CLAD, PLATED OR COATED - OTHER, IN COILS, NOT FURTHER WORKED THAN HOTROLLED, PICKLED : OF A THICKNESS OF 3 MM OR MORE BUT LESS THAN 4.75 MM : PLATES",Iron and Steel,72
72082620,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOT-ROLLED, NOT CLAD, PLATED OR COATED - OTHER, IN COILS, NOT FURTHER WORKED THAN HOTROLLED, PICKLED : OF A THICKNESS OF 3 MM OR MORE BUT LESS THAN 4.75 MM : UNIVERSAL PLATES",Iron and Steel,72
72082630,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOT-ROLLED, NOT CLAD, PLATED OR COATED - OTHER, IN COILS, NOT FURTHER WORKED THAN HOTROLLED, PICKLED : OF A THICKNESS OF 3 MM OR MORE BUT LESS THAN 4.75 MM : SHEETS",Iron and Steel,72
72082640,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOT-ROLLED, NOT CLAD, PLATED OR COATED - OTHER, IN COILS, NOT FURTHER WORKED THAN HOTROLLED, PICKLED : OF A THICKNESS OF 3 MM OR MORE BUT LESS THAN 4.75 MM : STRIP",Iron and Steel,72
72082690,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOT-ROLLED, NOT CLAD, PLATED OR COATED - OTHER, IN COILS, NOT FURTHER WORKED THAN HOTROLLED, PICKLED : OF A THICKNESS OF 3 MM OR MORE BUT LESS THAN 4.75 MM : OTHER",Iron and Steel,72
720827,Of a thickness of less than 3 mm,Iron and Steel,72
72082710,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOT-ROLLED, NOT CLAD, PLATED OR COATED - OTHER, IN COILS, NOT FURTHER WORKED THAN HOTROLLED, PICKLED : OF A THICKNESS OF LESS THAN 3 MM : PLATES",Iron and Steel,72
72082720,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOT-ROLLED, NOT CLAD, PLATED OR COATED - OTHER, IN COILS, NOT FURTHER WORKED THAN HOTROLLED, PICKLED : OF A THICKNESS OF LESS THAN 3 MM : UNIVERSAL PLATES",Iron and Steel,72
72082730,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOT-ROLLED, NOT CLAD, PLATED OR COATED - OTHER, IN COILS, NOT FURTHER WORKED THAN HOTROLLED, PICKLED : OF A THICKNESS OF LESS THAN 3 MM : SHEETS",Iron and Steel,72
72082740,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOT-ROLLED, NOT CLAD, PLATED OR COATED - OTHER, IN COILS, NOT FURTHER WORKED THAN HOTROLLED, PICKLED : OF A THICKNESS OF LESS THAN 3 MM : STRIP",Iron and Steel,72
72082790,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOT-ROLLED, NOT CLAD, PLATED OR COATED - OTHER, IN COILS, NOT FURTHER WORKED THAN HOTROLLED, PICKLED : OF A THICKNESS OF LESS THAN 3 MM : OTHER",Iron and Steel,72
720836,Of a thickness exceeding 10 mm,Iron and Steel,72
72083610,"36 FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOT-ROLLED, NOT CLAD, PLATED OR COATED - OTHER, IN COILS, NOT FURTHER WORKED THAN HOT-ROLLED: OF A THICKNESS EXCEEDING 10 MM : PLATES",Iron and Steel,72
72083620,"36 FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOT-ROLLED, NOT CLAD, PLATED OR COATED - OTHER, IN COILS, NOT FURTHER WORKED THAN HOT-ROLLED: OF A THICKNESS EXCEEDING 10 MM : UNIVERSAL PLATES",Iron and Steel,72
72083630,"36 FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOT-ROLLED, NOT CLAD, PLATED OR COATED - OTHER, IN COILS, NOT FURTHER WORKED THAN HOT-ROLLED: OF A THICKNESS EXCEEDING 10 MM : SHEETS",Iron and Steel,72
72083640,"36 FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOT-ROLLED, NOT CLAD, PLATED OR COATED - OTHER, IN COILS, NOT FURTHER WORKED THAN HOT-ROLLED: OF A THICKNESS EXCEEDING 10 MM : STRIP",Iron and Steel,72
72083690,"36 FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOT-ROLLED, NOT CLAD, PLATED OR COATED - OTHER, IN COILS, NOT FURTHER WORKED THAN HOT-ROLLED: OF A THICKNESS EXCEEDING 10 MM : OTHER",Iron and Steel,72
720837,Of a thickness of 4.75 mm or more but not exceeding 10 mm,Iron and Steel,72
72083710,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOT-ROLLED, NOT CLAD, PLATED OR COATED - OTHER, IN COILS, NOT FURTHER WORKED THAN HOT-ROLLED: OF A THICKNESS OF 4.75 MM OR MORE BUT NOT EXCEEDING 10 MM : PLATES",Iron and Steel,72
72083720,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOT-ROLLED, NOT CLAD, PLATED OR COATED - OTHER, IN COILS, NOT FURTHER WORKED THAN HOT-ROLLED: OF A THICKNESS OF 4.75 MM OR MORE BUT NOT EXCEEDING 10 MM : UNIVERSAL PLATES",Iron and Steel,72
72083730,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, HOT-ROLLED, NOT CLAD, PLATED OR COATED - OTHER, IN COILS, NOT FURTHER WORKED THAN HOT-ROLLED: OF A THICKNESS OF 4.75 MM OR MORE BUT NOT EXCEEDING 10 MM : SHEETS",Iron and Steel,72
